date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:12	61098/61098	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Apr%202021%2016:49:12%20GMT	https://www.reservhotel.com/win/owa/ibe5.main?hotel=152	C:/Users/hecto/Desktop/calendar/www.reservhotel.com/win/owa/ibe5de8e.html	(from )
11:49:12	194/194	---MCZ	200	added ('OK')	text/plain	etag:W/%22123ce7-28d-59aee0ac30440%22	https://www.reservhotel.com/robots.txt		(from )
11:49:13	15381/15381	---MCZ	200	added ('OK')	application/javascript	etag:W/%221275a9-3c17-5c07bbe5f99c0%22	https://www.reservhotel.com/hotel_fastlink_js/152.js	C:/Users/hecto/Desktop/calendar/www.reservhotel.com/hotel_fastlink_js/152.js	(from https://www.reservhotel.com/win/owa/ibe5.main?hotel=152)
11:49:13	3606/3606	---MCZ	200	added ('OK')	text/css	etag:W/%2215747f-1332-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/jquery.fancybox.css	C:/Users/hecto/Desktop/calendar/www.reservhotel.com/ibe5/assets/css/jquery.fancybox.css	(from https://www.reservhotel.com/win/owa/ibe5.main?hotel=152)
11:49:13	150996/150996	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:02%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/css/bootstrap.min.css	C:/Users/hecto/Desktop/calendar/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/css/bootstrap.min.css	(from https://www.reservhotel.com/win/owa/ibe5.main?hotel=152)
11:49:13	3779/3779	---MCZ	200	added ('OK')	text/css	etag:W/%22157469-ec3-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/bootstrap.min.css	C:/Users/hecto/Desktop/calendar/www.reservhotel.com/ibe5/assets/css/bootstrap.min.css	(from https://www.reservhotel.com/win/owa/ibe5.main?hotel=152)
11:49:14	20186/20186	---MCZ	200	added ('OK')	text/css	etag:W/%2215747b-781f-57a050d5a4c40%22	https://www.reservhotel.com/ibe5/assets/css/index.css?nov72018	C:/Users/hecto/Desktop/calendar/www.reservhotel.com/ibe5/assets/css/index2ca0.css	(from https://www.reservhotel.com/win/owa/ibe5.main?hotel=152)
11:49:14	2954/2954	---MCZ	200	added ('OK')	text/css	etag:W/%22157481-b8a-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/owl.carousel.min.css	C:/Users/hecto/Desktop/calendar/www.reservhotel.com/ibe5/assets/css/owl.carousel.min.css	(from https://www.reservhotel.com/win/owa/ibe5.main?hotel=152)
11:49:14	636/636	---MCZ	200	added ('OK')	text/css	etag:W/%2215748b-35b-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/style-m.css	C:/Users/hecto/Desktop/calendar/www.reservhotel.com/ibe5/assets/css/style-m.css	(from https://www.reservhotel.com/win/owa/ibe5.main?hotel=152)
11:49:15	3087/3087	---MCZ	200	added ('OK')	text/css	etag:W/%22157480-111c-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/modal_index.css	C:/Users/hecto/Desktop/calendar/www.reservhotel.com/ibe5/assets/css/modal_index.css	(from https://www.reservhotel.com/win/owa/ibe5.main?hotel=152)
